entry_time,exit_time,direction,entry_price,exit_price,outcome,pnl
2023-01-05 07:54:00+00:00,2023-01-05 07:59:00+00:00,UP,148.90886379969518,149.13868811782615,win,0.85
2023-01-05 08:29:00+00:00,2023-01-05 08:34:00+00:00,DOWN,149.8889046360232,149.40122251736108,win,0.85
2023-01-05 10:27:00+00:00,2023-01-05 10:32:00+00:00,DOWN,150.42920466296704,150.24177450527765,win,0.85
2023-01-05 11:33:00+00:00,2023-01-05 11:38:00+00:00,UP,149.4931670690804,149.37854876240078,loss,-1.0
2023-01-05 11:55:00+00:00,2023-01-05 12:00:00+00:00,UP,149.10058524806456,149.54007284760084,win,0.85
2023-01-05 15:21:00+00:00,2023-01-05 15:26:00+00:00,DOWN,150.04997155776076,150.35995540519062,loss,-1.0
2023-01-05 18:46:00+00:00,2023-01-05 18:51:00+00:00,UP,149.99741926048407,149.85909216511155,loss,-1.0
2023-01-05 19:16:00+00:00,2023-01-05 19:21:00+00:00,UP,149.54211344655042,149.43325706943895,loss,-1.0
2023-01-06 00:38:00+00:00,2023-01-06 00:43:00+00:00,UP,149.14534689248387,149.37637979392315,win,0.85
2023-01-06 01:25:00+00:00,2023-01-06 01:30:00+00:00,UP,148.98746667042914,148.81795157451515,loss,-1.0
2023-01-06 05:11:00+00:00,2023-01-06 05:16:00+00:00,UP,149.0535033419774,149.1712583535935,win,0.85
2023-01-06 13:50:00+00:00,2023-01-06 13:55:00+00:00,UP,148.29300525544602,148.31753771728089,win,0.85
2023-01-06 14:34:00+00:00,2023-01-06 14:39:00+00:00,DOWN,149.1940148205363,149.4691932516418,loss,-1.0
2023-01-06 16:37:00+00:00,2023-01-06 16:42:00+00:00,DOWN,150.60762644739938,150.6191046883043,loss,-1.0
2023-01-06 17:46:00+00:00,2023-01-06 17:51:00+00:00,UP,149.32387855481184,149.51176422394866,win,0.85
2023-01-06 21:20:00+00:00,2023-01-06 21:25:00+00:00,DOWN,150.95849310529002,151.04424241647044,loss,-1.0
2023-01-06 21:45:00+00:00,2023-01-06 21:50:00+00:00,UP,149.86286486829616,149.7925625617508,loss,-1.0
2023-01-06 22:18:00+00:00,2023-01-06 22:23:00+00:00,UP,149.25205842213066,149.43590908089618,win,0.85
2023-01-06 23:28:00+00:00,2023-01-06 23:33:00+00:00,UP,149.1952765021126,149.19461678177285,loss,-1.0
2023-01-07 00:34:00+00:00,2023-01-07 00:39:00+00:00,DOWN,149.88184159884656,150.21760451527393,loss,-1.0
2023-01-07 00:50:00+00:00,2023-01-07 00:55:00+00:00,DOWN,150.58187630737606,150.59088527913215,loss,-1.0
2023-01-07 01:25:00+00:00,2023-01-07 01:30:00+00:00,UP,149.40849695766093,149.89848643351374,win,0.85
2023-01-07 05:04:00+00:00,2023-01-07 05:09:00+00:00,UP,148.35930342789968,148.4293853276358,win,0.85
2023-01-07 10:49:00+00:00,2023-01-07 10:54:00+00:00,DOWN,149.4118254203802,149.20167908153968,win,0.85
2023-01-07 11:22:00+00:00,2023-01-07 11:27:00+00:00,UP,148.42349252116935,148.43488718338168,win,0.85
2023-01-07 11:46:00+00:00,2023-01-07 11:51:00+00:00,DOWN,149.34226528428732,149.40891689145687,loss,-1.0
2023-01-07 11:56:00+00:00,2023-01-07 12:01:00+00:00,DOWN,149.61705179534468,149.74386527407407,loss,-1.0
2023-01-07 12:35:00+00:00,2023-01-07 12:40:00+00:00,UP,148.9324392308187,148.75738885502483,loss,-1.0
