entry_time,exit_time,direction,entry_price,exit_price,outcome,pnl
2023-01-01 03:51:00+00:00,2023-01-01 03:56:00+00:00,UP,148.79213752509975,148.6137369358031,loss,-1000.0
2023-01-01 03:56:00+00:00,2023-01-01 04:01:00+00:00,UP,148.6137369358031,148.41148918946246,loss,-1000.0
2023-01-01 04:01:00+00:00,2023-01-01 04:06:00+00:00,UP,148.41148918946246,148.34947299418414,loss,-1000.0
2023-01-01 04:06:00+00:00,2023-01-01 04:11:00+00:00,UP,148.34947299418414,147.91379851224485,loss,-1000.0
2023-01-01 04:11:00+00:00,2023-01-01 04:16:00+00:00,UP,147.91379851224485,147.9802022570423,win,850.0
2023-01-01 04:16:00+00:00,2023-01-01 04:21:00+00:00,UP,147.9802022570423,148.1602883859424,win,850.0
2023-01-01 05:14:00+00:00,2023-01-01 05:19:00+00:00,DOWN,148.84325105623387,149.20344960885598,loss,-1000.0
2023-01-01 05:19:00+00:00,2023-01-01 05:24:00+00:00,DOWN,149.20344960885598,149.03799752647834,win,850.0
2023-01-01 05:33:00+00:00,2023-01-01 05:38:00+00:00,DOWN,149.301954712061,149.15604351270773,win,850.0
2023-01-01 05:54:00+00:00,2023-01-01 05:59:00+00:00,DOWN,149.61121078265,149.75018015621075,loss,-1000.0
2023-01-01 05:59:00+00:00,2023-01-01 06:04:00+00:00,DOWN,149.75018015621075,149.88529186135588,loss,-1000.0
2023-01-01 06:04:00+00:00,2023-01-01 06:09:00+00:00,DOWN,149.88529186135588,149.41487174331093,win,850.0
2023-01-01 07:00:00+00:00,2023-01-01 07:05:00+00:00,UP,148.71058949265102,148.6627412099985,loss,-1000.0
2023-01-01 07:06:00+00:00,2023-01-01 07:11:00+00:00,UP,148.6398233686476,148.8517807098206,win,850.0
2023-01-01 07:23:00+00:00,2023-01-01 07:28:00+00:00,DOWN,149.3700067711844,149.38252002003227,loss,-1000.0
2023-01-01 07:34:00+00:00,2023-01-01 07:39:00+00:00,DOWN,149.63755491484537,149.90390403429217,loss,-1000.0
2023-01-01 07:39:00+00:00,2023-01-01 07:44:00+00:00,DOWN,149.90390403429217,149.7380210474619,win,850.0
2023-01-01 08:08:00+00:00,2023-01-01 08:13:00+00:00,DOWN,150.23164641496084,149.94559530522702,win,850.0
2023-01-01 08:33:00+00:00,2023-01-01 08:38:00+00:00,UP,149.37062973677504,149.30767772377158,loss,-1000.0
2023-01-01 08:39:00+00:00,2023-01-01 08:44:00+00:00,UP,149.23456378282546,149.14401269858473,loss,-1000.0
2023-01-01 08:45:00+00:00,2023-01-01 08:50:00+00:00,UP,149.0338637558477,149.2120171890809,win,850.0
2023-01-01 10:24:00+00:00,2023-01-01 10:29:00+00:00,DOWN,149.84841832536466,149.767580525578,win,850.0
2023-01-01 10:37:00+00:00,2023-01-01 10:42:00+00:00,DOWN,150.1692121989912,150.27460418993923,loss,-1000.0
2023-01-01 10:42:00+00:00,2023-01-01 10:47:00+00:00,DOWN,150.27460418993923,150.1191880283104,win,850.0
2023-01-01 12:33:00+00:00,2023-01-01 12:38:00+00:00,DOWN,150.34574888939125,150.5029176599244,loss,-1000.0
2023-01-01 14:04:00+00:00,2023-01-01 14:09:00+00:00,UP,149.55236313231444,149.37088226298394,loss,-1000.0
2023-01-01 14:09:00+00:00,2023-01-01 14:14:00+00:00,UP,149.37088226298394,149.5002573246685,win,850.0
2023-01-01 15:34:00+00:00,2023-01-01 15:39:00+00:00,DOWN,150.48356795799444,150.33672869865907,win,850.0
2023-01-01 19:17:00+00:00,2023-01-01 19:22:00+00:00,UP,149.7259380069538,149.87294722506758,win,850.0
2023-01-01 22:10:00+00:00,2023-01-01 22:15:00+00:00,DOWN,150.8191024949026,150.9721765601961,loss,-1000.0
