time,open,high,low,close
2023-01-01 00:00:00,149.99999999999997,150.07822198793232,149.92177801206762,149.99999999999997
2023-01-01 00:01:00,149.99999999999997,150.08706398684097,149.93984028588613,150.02690427272714
2023-01-01 00:02:00,150.02690427272714,150.08813077194458,149.88170555786647,149.9429320570839
2023-01-01 00:03:00,149.9429320570839,149.95873893862992,149.83356183903967,149.8493687205857
2023-01-01 00:04:00,149.8493687205857,150.077523767817,149.7453209511746,149.97347599840592
2023-01-01 00:05:00,149.97347599840592,149.98197139217405,149.90362513537605,149.91212052914418
2023-01-01 00:06:00,149.91212052914418,149.99464172949698,149.86905911850005,149.95158031885285
2023-01-01 00:07:00,149.95158031885285,149.9917574659232,149.82978240128574,149.8699595483561
2023-01-01 00:08:00,149.8699595483561,149.9776495097987,149.82692019309292,149.93461015453553
2023-01-01 00:09:00,149.93461015453553,149.99721102484241,149.81589388177886,149.87849475208574
2023-01-01 00:10:00,149.87849475208574,149.91297144995983,149.707284298519,149.74176099639308
2023-01-01 00:11:00,149.74176099639308,149.7441426086529,149.7004404401802,149.70282205244
2023-01-01 00:12:00,149.70282205244,149.75520348444394,149.66420442627017,149.7165858582741
2023-01-01 00:13:00,149.7165858582741,149.78419957792624,149.63805649182518,149.70567021147733
2023-01-01 00:14:00,149.70567021147733,149.73500969366486,149.60207412096315,149.6314136031507
2023-01-01 00:15:00,149.6314136031507,149.67354167435508,149.60401259512327,149.64614066632765
2023-01-01 00:16:00,149.64614066632765,149.64805573668687,149.5878500505974,149.58976512095663
2023-01-01 00:17:00,149.58976512095663,149.65435465218093,149.44647767689582,149.51106720812012
2023-01-01 00:18:00,149.51106720812012,149.5485914673819,149.42072462774647,149.45824888700824
2023-01-01 00:19:00,149.45824888700824,149.55895325398734,149.44472041226277,149.54542477924187
2023-01-01 00:20:00,149.54542477924187,149.56167945939194,149.51865048403275,149.53490516418282
2023-01-01 00:21:00,149.53490516418282,149.56008480959144,149.52332516283022,149.54850480823885
2023-01-01 00:22:00,149.54850480823885,149.6220571608575,149.47343806410308,149.54699041672174
2023-01-01 00:23:00,149.54699041672174,149.5631358714944,149.41437160662446,149.43051706139713
2023-01-01 00:24:00,149.43051706139713,149.4655035894671,149.4252038547782,149.46019038284817
2023-01-01 00:25:00,149.46019038284817,149.65109084187628,149.44942759880647,149.64032805783458
2023-01-01 00:26:00,149.64032805783458,149.64729549762012,149.53939919703802,149.54636663682356
2023-01-01 00:27:00,149.54636663682356,149.6154620254672,149.5365388165802,149.60563420522382
2023-01-01 00:28:00,149.60563420522382,149.75170118480398,149.52407614563725,149.6701431252174
2023-01-01 00:29:00,149.6701431252174,149.80313788805063,149.60040629544076,149.73340105827398
2023-01-01 00:30:00,149.73340105827398,149.77208653737398,149.65409233566288,149.69277781476288
2023-01-01 00:31:00,149.69277781476288,149.79340913483375,149.55696832125852,149.6575996413294
2023-01-01 00:32:00,149.6575996413294,149.66127760656553,149.5536239088375,149.55730187407363
2023-01-01 00:33:00,149.55730187407363,149.62268716264174,149.4741620515643,149.5395473401324
2023-01-01 00:34:00,149.5395473401324,149.68338241240448,149.51626317844594,149.66009825071802
2023-01-01 00:35:00,149.66009825071802,149.72970913390338,149.50811351186184,149.5777243950472
2023-01-01 00:36:00,149.5777243950472,149.6475125499255,149.34308835172865,149.41287650660695
